"Family","Genus","species","bar_code","plot_code","X","Y","Fe","sapwood_dens","bark_thick","twig_dens","twig_bark_thick","N","NH4","C13","P","K","chlor","C_N","Nodulation","log_lf_area","log_tough","log_lflt_area","log_LTD","log_SLA","log_moist","PC1","PC2","PC3"
"Dichapetalaceae","Tapura","guianensis","T10137","T1",88.5,93.5,NA,0.66738,3.7,0.655511486,2.58203707,0.0135085,0.507161,-31.70344962,0.0005977,0.00553,67.310127489949,34.3358803363826,0,3.39540955733068,0.727548607277278,3.39540955733068,-10.6977141295440,2.37897187685159,-0.400626831467915,0.84351643895039,-0.151300305321613,-0.432750374237581
"Dichapetalaceae","Tapura","guianensis","T10241","T1",57,57,NA,0.7786,4,0.641558974,2.53312803,0.023671371,0.533165,-31.75415842,0.00087,0.0132504,75.82620922574,21.0115369958319,0,3.28814188969309,0.510825623765991,3.28814188969309,-10.6526555711709,2.49213732369344,-0.702187925212094,-1.62200010753696,-0.886090309030712,1.05567153264432
"Dichapetalaceae","Tapura","guianensis","T10275","T1",47.5,48,NA,0.67,2.5,0.749771689,1.55618423,0.019124855,0.642296,-33.74414599,0.0004579,0.0054721,69.287936554176,27.2095226734709,0,4.22041416369534,0.674643708995386,4.22041416369534,-10.5935385178256,2.60964380602746,-0.602575482375558,0.281709570450755,-0.723040141044074,1.26229752462550
"Dichapetalaceae","Tapura","guianensis","T10408","T1",3.5,3,NA,0.60729,4,0.740616455,2.75393485,0.019616947,0.702973,-32.17140303,0.0006399,0.0159851,67.6038943858195,22.9833268021263,0,3.70337799568531,0.329303747142600,3.70337799568531,-10.6950147586481,2.72254874267358,-0.274436845701760,-2.04954428798032,-0.365082690673045,0.357710905680574
"Ebenaceae","Diospyros","capreifolia","A110043","A11",1,39,NA,0.69,2,0.578650295734406,0.53687028,0.021264782,0.202082,-33.28822331,0.000704,0.00453,69.9136236197856,21.5309487275066,0,3.38664760064742,0.585933096252796,3.38664760064742,-9.94957992627784,2.58166093833194,-0.562118918153541,0.0923839261218442,-1.19809369408364,0.339656514596930
"Ebenaceae","Diospyros","capreifolia","M17116453","M1711",48,70,NA,0.667,2,0.73,1.38026418,0.016047665,0.492177,-33.18815611,0.0003485,0.0065691,37.2651537342071,28.7541198836550,0,2.94968833505258,0.385262400790645,2.94968833505258,-10.0748303074888,2.56897139663361,-0.59293992014292,0.809396180388406,-2.16659696629004,-0.066732150039269
"Ebenaceae","Diospyros","capreifolia","M17116535","M1711",57,6,NA,0.7556,2,0.641,0.833,0.016551196,0.34372,-32.64079318,0.0003784,0.0020176,82.9505152374401,28.8162490828168,0,3.00568260440716,0.136859182717197,3.00568260440716,-10.0488702164954,2.55036969057143,-0.702389761926878,1.50339977983039,-1.94127014611305,0.0496808451017985
"Ebenaceae","Diospyros","capreifolia","NL110410","NL11",178,14,NA,0.6927,1,0.593,1.0905,0.020430438,0.434254,-34.60696469,0.0004301,0.0023744,52.4051156606725,23.4844207451646,0,2.93562834948429,0.136859182717197,2.93562834948429,-9.96146984536254,2.39913497896972,-0.589327851920948,0.673173281011083,-2.07251367740560,0.0210554441801152
"Ebenaceae","Diospyros","capreifolia","P01860137","P018",69,1,NA,0.7414,1,0.713304596,0.597,0.019395553,0.427491,-35.46861973,0.0003938,0.0038919,77.4653950098823,23.2934919669473,0,2.94619182799386,0.254642218373581,2.94619182799386,-9.8870874994783,2.51874781316692,-0.70420812791937,1.15005998308085,-2.47607026202133,0.913250339925917
"Ebenaceae","Diospyros","carbonaria","A110175","A11",40,27,NA,0.63,5,0.564282655715942,0.59577045,0.012291747,0.298997,-32.01461947,0.0003578,0.0029501,131.007279811265,40.6964791904682,0,3.58259258359598,0.371563556432483,3.58259258359598,-9.89741507347223,1.59837789185916,-0.579818495252942,3.70393111622628,0.57642656347702,-1.10535737854073
